Key,Description,Standard,fr
SAY.cinna flowchart.55.Mary,,"You'll be part of me, now, see?","Tu feras partie de moi, maintenant, tu vois ?"
SAY.cinna flowchart.57.Mary,,We'll be together forever.,Nous serons ensemble pour toujours.
SAY.cinna flowchart.59.Mary,,We'll never be apart.,Nous ne nous séparerons jamais.
SAY.cinna flowchart.61.Mary,,We'll…,Nous...
SAY.cinna flowchart.63.Mary,,…,...
SAY.cinna flowchart.65.Mary,,I'm sorry.,Je suis désolée.
SAY.cinna flowchart.67.Mary,,I'm sorry.,Je suis désolée.
SAY.cinna flowchart.70.Mary,,"I'm so, so sorry.","Je suis tellement, tellement désolée."
SAY.cinna flowchart.151.,,Notes from cinna:{wc}Thank you so much for playing our little labor of love!,Notes de cinna : {wc}Un grand merci pour avoir joué à notre petit projet d'amour !
SAY.cinna flowchart.152.,,"One dislocated leg (please send well wishes to Nii), one concussion (please send well wishes to me lmao), one insane fever (get well soon Astra), and a team of tired souls later, this game finally exists :){wc}Please be kind, write a nice comment if you'd like (we live for them!), play through the game again and again if you want, unlock all the endings and maybe an easter egg...?","Une jambe luxée (envoyez vos vœux de bon rétablissement à Nii), une commotion cérébrale (envoyez-moi vos vœux de bon rétablissement lol), une fièvre de dingue (bon rétablissement Astra), et après tout ça, avec une équipe d'âmes épuisées, ce jeu est enfin là :){wc}Soyez sympas, laissez un petit commentaire si vous le souhaitez (on n'attend que ça !), rejouez au jeu autant de fois que vous voulez, débloquez toutes les fins, et peut-être même un easter egg… ?"
SAY.cinna flowchart.154.,,Stay tuned for more toxic yuri horror games (and check out our others if you haven't yet). The world will never have enough :P,Restez à l'écoute pour découvrir d'autres jeux d'horreur toxic yuri (et jetez un œil à nos autres jeux si vous ne l'avez pas encore fait). On n'en aura jamais assez :P
SAY.cinna flowchart.157.,,The secret ending is now unlocked! See if you can find it...,Vous avez débloqué la fin secrète ! Voyez si vous arrivez à la trouver...
CHARACTER.Mary,,Mary,Mary
CHARACTER.Hazel,,Hazel,Hazel
CHARACTER.Note,,Note,Mot
CHARACTER.Vendor,,Vendor,Vendeuse
CHARACTER.Crier,,Crier,Crieur
