Key,Description,Standard
SAY.cinna flowchart.664.,,"As I continue, the recipes start to get shorter again, less precise, the handwriting shakier."
SAY.cinna flowchart.665.,,"Entire pages have been dedicated to elaborate rants, or covered in ink, or ripped right out of the notebook."
SAY.cinna flowchart.666.,,"Eventually, I find it. The last recipe."
SAY.cinna flowchart.668.Notebook,,All following procedure must be done during the night of a half-moon or the day directly following it. 
SAY.cinna flowchart.669.Notebook,,"Use a mortar and pestle to mix together a paste of Hemlock, Arum Lily, St John's Wort, and Lavender."
SAY.cinna flowchart.670.Notebook,,"The exact quantity doesn't matter, but the proportions should be roughly even. Apply that paste evenly to the surface of a bezoar."
SAY.cinna flowchart.671.Notebook,,"Allow the bezoar to soak for a few minutes in a bowl of warm water, then remove it."
SAY.cinna flowchart.672.Notebook,,"A small amount of sediment should have formed at the bottom of the bowl. This is your mixture, ready for consumption."
SAY.cinna flowchart.673.Notebook,,Result — Success.
SAY.cinna flowchart.674.,,"I close the book, my heart pounding. Could it really work? A potion that lets you change your body to whatever your heart desires?"
SAY.cinna flowchart.675.,,Could it change my face? Would it be permanent?
SAY.cinna flowchart.676.,,"For a while, my mind runs wild with the possibilities. I could change my face and my name."
SAY.cinna flowchart.677.,,"I could move to another country, to the other side of the world. I could escape, from the Duke, and even from Mary."
SAY.cinna flowchart.678.,,"She hasn't done anything to hurt me yet, but I know deep down that it's only a matter of time."
SAY.cinna flowchart.679.,,Even my parents abandoned me. She won't be any different.
SAY.cinna flowchart.681.,,My thoughts are interrupted by what sounds like a crash coming from the other room.
SAY.cinna flowchart.682.,,"Gingerly, I ease myself onto my wounded leg and pace over the door. I open it a crack and peer through."
SAY.cinna flowchart.685.Hazel,,Mary? Are you alright?
SAY.cinna flowchart.686.,,"The room is dark, the only illumination coming from a single log burning away in the fireplace."
SAY.cinna flowchart.687.,,"I can see Mary's silhouette, huddled at the very edge of the darkness, completely still."
SAY.cinna flowchart.689.Hazel,,Mary?
SAY.cinna flowchart.692.Mary,,"I'm alright, dear. You should go back to bed."
SAY.cinna flowchart.693.,,Her voice sounds dry and raspy. I take a step forward.
SAY.cinna flowchart.695.Hazel,,Are you sure? I thought I heard a crash.
SAY.cinna flowchart.697.Mary,,"Please, don't worry about me."
SAY.cinna flowchart.699.,,"She moves backwards slightly, dragging herself along the floor, further into the shadows."
SAY.cinna flowchart.700.,,"My eyes are starting to adjust to the darkness, though, and I can almost make out her face..."
SAY.cinna flowchart.702.Hazel,,I actually had something I wanted to ask you. It was...
SAY.cinna flowchart.705.Mary,,GET OUT OF HERE!
SAY.cinna flowchart.707.,,I jolt backwards.
SAY.cinna flowchart.709.Mary,,"I— I'm sorry, dear, I've had a very tiring day. Can we talk about it in the morning?"
SAY.cinna flowchart.712.,,"I nod furtively, and hurry back to my bedroom, closing the door behind me as firmly as I can."
SAY.cinna flowchart.713.,,"That night, I don't get much sleep. I can't stop thinking about what I saw in the darkness."
SAY.cinna flowchart.714.,,Mary's face hadn't moved an inch. She hadn't even looked like she was breathing.
SAY.cinna flowchart.715.,,"Her skin, pale as marble, was covered in hairline cracks. Her lips were painted cherry-red, smooth as stone."
SAY.cinna flowchart.716.,,"And her eyes were empty, gaping holes."
CHARACTER.Mary,,Mary
CHARACTER.Hazel,,Hazel
CHARACTER.Notebook,,Notebook
